-0.6508,0.1097,4.0009,-1.0000
-1.4492,0.8896,4.4005,-1.0000
2.0850,0.6876,12.0710,-1.0000
0.2626,1.1476,7.7985,1.0000
0.6418,1.0234,7.0427,1.0000
0.2569,0.6730,8.3265,-1.0000
1.1155,0.6043,7.4446,1.0000
0.0914,0.3399,7.0677,-1.0000
0.0121,0.5256,4.6316,1.0000
-0.0429,0.4660,5.4323,1.0000
0.4340,0.6870,8.2287,-1.0000
0.2735,1.0287,7.1934,1.0000
0.4839,0.4851,7.4850,-1.0000
0.4089,-0.1267,5.5019,-1.0000
1.4391,0.1614,8.5843,-1.0000
-0.9115,-0.1973,2.1962,-1.0000
0.3654,1.0475,7.4858,1.0000
0.2144,0.7515,7.1699,1.0000
0.2013,1.0014,6.5489,1.0000
0.6483,0.2183,5.8991,1.0000
-0.1147,0.2242,7.2435,-1.0000
-0.7970,0.8795,3.8762,1.0000
-1.0625,0.6366,2.4707,1.0000
0.5307,0.1285,7.0881,-1.0000
-0.6024,-0.3756,2.1140,-1.0000
-2.0429,0.6440,2.0425,-1.0000
1.0650,0.3056,8.5707,-1.0000
0.4310,0.5841,7.3060,1.0000
0.0757,0.2731,6.9041,-1.0000
-1.1226,0.6127,2.1051,1.0000
